round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec
264,0.06537,5.601418,12800,1,62.168
265,0.064642,6.931774,12800,1,63.252
266,0.066606,10.852793,12800,1,60.686
267,0.065181,5.198869,12800,1,64.012
268,0.065686,9.127505,12800,1,59.574
269,0.064236,11.688471,12800,1,61.864
270,0.064705,9.505102,12800,1,62.216
271,0.065526,7.926966,12800,1,65.142
272,0.064348,6.3777,12800,1,66.612
273,0.065517,9.683387,12800,1,65.657
274,0.066786,6.030712,12800,1,63.451
275,0.064802,5.359051,12800,1,62.405
276,0.065048,7.674437,12800,1,69.085
277,0.063995,7.912563,12800,1,68.018
278,0.065992,9.620727,12800,1,71.895
279,0.065326,8.696302,12800,1,65.243
280,0.065584,8.046279,12800,1,60.167
281,0.065657,6.989708,12800,1,61.558
282,0.06431,9.02402,12800,1,61.914
283,0.064091,6.601522,12800,1,58.932
284,0.065542,8.760403,12800,1,60.207
285,0.064006,7.801866,12800,1,62.421
286,0.066227,5.103748,12800,1,61.196
287,0.065443,6.84972,12800,1,59.315
288,0.065999,6.114146,12800,1,61.643
289,0.064021,4.24186,12800,1,63.716
290,0.06572,7.447659,12800,1,59.307
291,0.065474,7.754893,12800,1,62.27
292,0.064779,12.067098,12800,1,61.433
293,0.063257,8.042791,12800,1,63.186
294,0.064399,6.765879,12800,1,60.01
295,0.064876,8.835798,12800,1,61.42
296,0.065292,3.987903,12800,1,61.151
297,0.065401,6.892715,12800,1,61.405
298,0.065061,10.134319,12800,1,59.434
299,0.064321,10.009585,12800,1,59.931
300,0.064662,4.703812,12800,1,61.268
301,0.064853,7.31683,12800,1,61.504
302,0.064006,6.713699,12800,1,58.774
303,0.063423,8.593711,12800,1,59.963
304,0.065177,10.54719,12800,1,61.544
305,0.06439,6.574856,12800,1,60.736
306,0.06567,6.491933,12800,1,59.727
307,0.063439,6.519548,12800,1,60.425
308,0.065153,6.645999,12800,1,63.045
309,0.064503,5.775256,12800,1,60.432
310,0.065343,6.36109,12800,1,60.189
311,0.064699,9.343783,12800,1,60.151
312,0.064715,5.657464,12800,1,63.895
313,0.064059,4.371559,12800,1,59.403
314,0.065118,8.115264,12800,1,60.024
315,0.065152,11.05145,12800,1,60.961
316,0.065144,9.404119,12800,1,63.516
317,0.065484,8.4429,12800,1,59.891
318,0.063862,9.65941,12800,1,60.841
319,0.06462,5.047663,12800,1,62.002
320,0.065086,7.527157,12800,1,62.134
